DateTime,Price
2024-09-19 12:36:00,2440.26799734
2024-09-19 12:36:01,2440.21201767
2024-09-19 12:36:02,2440.28747858
2024-09-19 12:36:03,2440.21433186
2024-09-19 12:36:04,2440.25501155
2024-09-19 12:36:05,2440.36618146
2024-09-19 12:36:06,2440.58943997
2024-09-19 12:36:07,2440.65348269
2024-09-19 12:36:08,2440.6825
2024-09-19 12:36:08,2440.6825
2024-09-19 12:36:09,2440.77454419
2024-09-19 12:36:10,2440.78199395
2024-09-19 12:36:11,2440.64250001
2024-09-19 12:36:12,2440.03998828
2024-09-19 12:36:13,2439.955
2024-09-19 12:36:14,2439.98928908
2024-09-19 12:36:15,2439.87663174
2024-09-19 12:36:16,2440.01982365
2024-09-19 12:36:17,2440.02148234
2024-09-19 12:36:18,2439.88564784
2024-09-19 12:36:19,2439.93083252
2024-09-19 12:36:20,2439.88435912
2024-09-19 12:36:21,2439.87951818
2024-09-19 12:36:22,2439.85374996
2024-09-19 12:36:23,2439.84457683
2024-09-19 12:36:24,2439.80201666
2024-09-19 12:36:25,2439.81267852
2024-09-19 12:36:26,2439.85336872
2024-09-19 12:36:27,2439.88353931
2024-09-19 12:36:28,2439.83207141
2024-09-19 12:36:29,2439.85332519
2024-09-19 12:36:30,2439.49202761
2024-09-19 12:36:31,2439.20209663
2024-09-19 12:36:32,2438.80396456
2024-09-19 12:36:33,2438.5191782
2024-09-19 12:36:34,2438.32777709
2024-09-19 12:36:35,2438.26494582
2024-09-19 12:36:36,2438.28453518
2024-09-19 12:36:37,2438.26496071
2024-09-19 12:36:38,2438.26249785
2024-09-19 12:36:39,2438.29380544
2024-09-19 12:36:40,2438.29804031
2024-09-19 12:36:41,2438.25891583
2024-09-19 12:36:42,2438.00310146
2024-09-19 12:36:43,2437.80920795
2024-09-19 12:36:44,2437.1225
2024-09-19 12:36:45,2436.92881382
2024-09-19 12:36:45,2436.92881382
2024-09-19 12:36:46,2436.8151953
2024-09-19 12:36:47,2436.85327413
2024-09-19 12:36:47,2436.85327413
2024-09-19 12:36:48,2436.78955856
2024-09-19 12:36:49,2436.75720717
2024-09-19 12:36:50,2436.795003
2024-09-19 12:36:51,2436.76999837
2024-09-19 12:36:52,2436.95455905
2024-09-19 12:36:53,2437.00196879
2024-09-19 12:36:54,2437.27613038
2024-09-19 12:36:55,2437.31168921
2024-09-19 12:36:55,2437.31168921
2024-09-19 12:36:56,2437.41499999
2024-09-19 12:36:57,2437.65419501
2024-09-19 12:36:58,2437.71954611
2024-09-19 12:36:59,2437.72950466
2024-09-19 12:36:59,2437.72950466
2024-09-19 12:37:00,2437.71952393
2024-09-19 12:35:00,2440.64398418
2024-09-19 12:35:01,2440.62453309
